Name	Team	Pos	SH	SG	G	A	OF	SV	ID
Deakin, Ian	Mansfield Town	G	0	0	0	0	0	0	184
Dunne, Charles	Wycombe Wanderers	D	9	2	0	0	0	0	185
Dempster, John	Mansfield Town	D	15	2	0	1	3	0	186
Dickenson, Ben	AFC Wimbledon	F	0	0	0	0	0	0	187
Done, Matt	Rochdale	M	14	7	0	5	6	0	188
Daniel, Colin	Mansfield Town	M	24	12	2	1	3	0	189
Davies, Scott	Fleetwood Town	M	0	0	0	1	0	17	190
Diamond, Alexander	Burton Albion	D	8	2	2	1	1	0	191
Dickenson, Brennan	Northampton Town	D	14	4	1	0	0	0	192
Deegan, Gary	Northampton Town	M	15	5	1	0	1	0	193
Dias, Claudio	Northampton Town	M	0	0	0	0	0	0	194
Dieseruvwe, Emmanuel	Fleetwood Town	F	0	0	0	0	1	0	195
Davies, Ben	York City	D	2	1	0	2	0	0	196
Devera, Joe	Portsmouth	D	13	3	0	0	0	0	197
Doumbe, Mathias	Northampton Town	D	16	5	3	1	0	0	198
Delap, Rory	Burton Albion	M	3	1	1	0	0	0	199
Edwards, Matthew	Rochdale	G	0	0	0	0	0	0	200
Edwards, Jack	Southend United 	M	0	0	0	0	0	0	201
Eastwood, Freddy	Southend United 	F	34	14	6	1	22	0	202
Egan, John	Southend United 	F	10	5	1	0	0	0	203
Eastham, Ashley	Rochdale	D	3	1	0	3	0	0	204
Evatt, Ian	Chesterfield	D	14	5	1	1	5	0	205
Ehui, Georges	Wycombe Wanderers	M	0	0	0	0	0	0	206
Edwards, Ryan	Chesterfield	D	7	1	0	0	0	0	207
Ellison, Kevin	Morecambe	M	79	36	10	0	26	0	208
East, Danny	Portsmouth	D	4	1	1	0	0	0	209
Ertl, Johannes	Portsmouth	D	5	1	0	0	0	0	210
Esajas, Etienne	Scunthorpe United	M	21	7	2	0	2	0	211
Evans, Gareth	Fleetwood Town	F	41	22	6	1	4	0	212
Edgar, Anthony	Dagenham & Redbridge	M	0	0	0	0	0	0	213
Elito, Medy	Dagenham & Redbridge	M	52	20	7	3	9	0	214
Elliott, Steve	Cheltenham Town	D	15	6	1	0	0	0	215
Edwards, Phil	Burton Albion	D	20	5	2	1	1	0	216
Edwards, Rob	Exeter City	D	0	0	0	0	0	0	217
Forrester, Anton	Bury	F	34	17	6	2	22	0	218
Futcher, Ben	Bury	D	0	0	0	0	0	0	219
Fogden, Wes	Portsmouth	M	14	7	2	0	1	0	220
Fletcher, Wes	York City	F	43	24	10	1	9	1	221
Fell, Jordan	Mansfield Town	G	0	0	0	0	0	0	222
Fortune, Jonathan	Dagenham & Redbridge	D	0	0	0	0	0	0	223
Fuller, Barry	AFC Wimbledon	M	9	1	0	2	3	0	224
Fleming, Andrew	Morecambe	M	45	15	2	4	3	0	225
Flynn, Michael	Newport County	M	28	10	3	2	1	0	226
Franks, Jonathan	Hartlepool United	M	45	16	5	0	9	0	227
Fenlon, Jim	AFC Wimbledon	D	9	4	0	0	3	0	228
Francomb, George	AFC Wimbledon	D	39	10	3	2	2	0	229
Fayers, Charlie	AFC Wimbledon	M	0	0	0	0	0	0	230
Frampton, Andy	AFC Wimbledon	M	16	7	4	1	0	0	231
Fontaine, Jean-Michel	Fleetwood Town	F	0	0	0	0	0	0	232
Foster, Danny	Wycombe Wanderers	D	0	0	0	0	0	0	233
Ferry, Simon	Portsmouth	M	2	1	1	0	0	0	234
Feely, Kevin	AFC Wimbledon	D	6	2	1	0	0	0	235
Fielding, Kristian	Newport County	M	0	0	0	0	0	0	236
Flinders, Scott	Hartlepool United	G	0	0	0	1	0	65	237
Foden, Mark	Hartlepool United	G	0	0	0	0	0	0	238
Gibbons, Robbie	Scunthorpe United	M	0	0	0	0	0	0	239
Gill, Matthew	Bristol Rovers	D	1	0	0	0	1	0	240
Godden, Matt	Scunthorpe United	F	1	1	0	0	0	0	241
Gosling, Jake	Exeter City	M	2	1	0	0	0	0	242
Grimes, Matt	Exeter City	M	42	14	1	2	2	0	243
Gray, Reece	Rochdale	M	0	0	0	0	0	0	244
Grimshaw, Liam	Morecambe	D	0	0	0	0	0	0	245
Gough, Connor	Bristol Rovers	G	0	0	0	0	0	0	246
Goodall, Alan	Fleetwood Town	D	3	2	0	1	0	0	247
Grant, Robert	Fleetwood Town	M	0	0	0	0	0	0	248
Gomis, Bedsente	Southend United 	D	0	0	0	0	0	0	249
Gray, David	Burton Albion	D	2	0	0	0	1	0	250
Gracco, Gianluca	Dagenham & Redbridge	F	0	0	0	0	0	0	251
Gornell, Terry	Cheltenham Town	F	48	24	3	0	20	0	252
Gray, James	Accrington Stanley	D	40	24	7	2	25	0	253
Green, Jake	Bristol Rovers	M	0	0	0	0	0	0	254
Gillespie, Steven	Cheltenham Town	F	12	4	1	0	6	0	255
Gow, Alan	Exeter City	F	61	20	7	3	13	1	256
Gayle, Ian	Dagenham & Redbridge	D	0	0	0	0	0	0	257
Gurrieri, Andres	Plymouth Argyle	M	27	8	1	2	1	0	258
Gregory, Jason	Mansfield Town	D	0	0	0	0	0	0	259
Grimes, Ashley	Bury	M	8	4	0	1	0	0	260
Gardner, Danny	Chesterfield	M	12	5	3	3	1	0	261
Gnanduillet, Armand	Chesterfield	F	54	23	5	4	18	0	262
Hery, Bastien	Rochdale	M	3	2	1	0	0	0	263
Harris, Neil	Southend United 	F	0	0	0	0	0	0	264
Henderson, Ian	Rochdale	F	62	21	11	3	29	0	265
Harness, Marcus	Burton Albion	M	1	1	0	0	0	0	266
Hemmings, Ashley	Burton Albion	F	1	0	0	0	3	0	267
Hogan, Liam	Fleetwood Town	D	5	2	0	0	1	0	268
Hayhurst, William	York City	M	15	8	2	2	5	0	269
Howe, Rene	Burton Albion	F	26	13	4	2	16	0	270
Henly, Jonathan	Oxford United	G	0	0	0	0	0	0	271
Hogan, David	Dagenham & Redbridge	G	0	0	0	0	0	0	272
Hines, Zavon	Dagenham & Redbridge	M	49	20	6	5	7	0	273
Hannah, Andrew	Plymouth Argyle	G	0	0	0	0	0	0	274
Harvey, Tyler	Plymouth Argyle	F	10	6	1	1	2	0	275
Hawkins, Jack	Mansfield Town	M	0	0	0	0	0	0	276
Hinds, Richard	Bury	D	2	2	1	0	0	0	277
Holden, Euan	Bury	D	1	0	0	0	0	0	278
Hutchinson, Ben	Mansfield Town	F	13	5	2	3	0	0	279
Howell, Dean	Fleetwood Town	M	1	1	0	0	0	0	280
Hughes, Jeff	Fleetwood Town	D	41	12	3	2	5	0	281
Hornsey, Luke	Scunthorpe United	M	0	0	0	0	0	0	282
Hughes, Mark	Scunthorpe United	M	0	0	0	0	0	0	283
Hume, Iain	Fleetwood Town	F	7	7	1	1	8	0	284
Hollands, Danny	Portsmouth	M	12	7	6	0	1	0	285
Holmes, Ricky	Portsmouth	F	41	17	2	10	9	0	286
Hughes, Matty	Fleetwood Town	D	3	2	0	0	0	0	287
Hall, Freddy	Burton Albion	G	0	0	0	0	0	0	288
Hughes, Andrew	Newport County	D	10	5	2	0	0	0	289
Hogan, Scott	Rochdale	D	54	34	17	0	16	0	290
Holness, Marcus	Burton Albion	D	4	1	0	0	0	0	291
Hunt, Nicky	Accrington Stanley	D	8	1	0	2	0	0	292
Hunt, David	Oxford United	M	13	2	0	2	1	0	293
Hatfield, Will	Accrington Stanley	M	19	9	0	0	1	0	294
Hazeldine, Max	Accrington Stanley	M	0	0	0	0	0	0	295
Hamon, James	Exeter City	G	0	0	0	0	0	0	296
Hurst, Kevan	Southend United 	M	71	32	11	15	13	0	297
Healy, David	Bury	F	0	0	0	0	0	0	298
Hughes, Mark	Morecambe	D	24	11	5	1	4	0	299
Hird, Sam	Chesterfield	D	10	6	2	1	1	0	300
Holden, Darren	Hartlepool United	D	4	1	0	1	1	0	301
Hacker, Luke	Northampton Town	M	72	30	8	2	21	0	302
Humphreys, Ritchie	Chesterfield	M	12	2	2	5	0	0	303
Harrison, Scott	Bury	M	1	0	0	0	0	0	304
Hawkins, Lewis	Hartlepool United	M	0	0	0	0	0	0	305
Harewood, Marlon	Hartlepool United	F	15	7	3	0	12	1	306
Howell, Luke	Dagenham & Redbridge	D	27	11	4	2	4	0	307
Hoyte, Gavin	Dagenham & Redbridge	D	4	1	0	2	0	0	308
Hope, Hallam	Bury	M	20	9	6	1	7	0	309
Herbel, Ryan	AFC Wimbledon	M	0	0	0	0	0	0	310
Hussey, Chris	Bury	D	40	20	3	4	13	0	311
Heath, Ben	Northampton Town	G	0	0	0	0	0	0	312
Hylton, Daniel	Bury	F	44	22	5	1	22	0	313
Horwood, Evan	Northampton Town	D	2	1	0	1	0	0	314
Hackett, Chris	Northampton Town	M	35	10	2	3	15	0	315
Hornby, Lewis	Northampton Town	M	0	0	0	0	0	0	316
Harper-Penman, Jed	Plymouth Argyle	M	0	0	0	0	0	0	317
Hourihane, Conor	Plymouth Argyle	M	79	29	8	3	3	0	318
Harrison, Lee	Wycombe Wanderers	G	0	0	0	0	0	0	319
Hall, Paris	Wycombe Wanderers	M	19	12	4	0	12	0	320
Howell, Anthony	Mansfield Town	D	12	6	3	0	1	0	321
Howe, Callum	Scunthorpe United	D	0	0	0	0	0	0	322
Hunter, Shaquille	Bristol Rovers	M	0	0	0	0	0	0	323
Harding, Mitch	Bristol Rovers	F	2	0	0	0	0	0	324
Harrison, Ellis	Bristol Rovers	F	19	5	1	2	4	0	325
Harrold, Matt	Bristol Rovers	F	30	11	5	0	11	1	326
Horlock, Charlie	Wycombe Wanderers	G	0	0	0	0	0	0	327
Hanks, Joe	Cheltenham Town	M	1	0	0	1	1	0	328
Harrison, Byron	Cheltenham Town	M	60	28	13	5	28	0	329
Hawkridge, Terry	Scunthorpe United	D	31	12	1	8	3	0	330
Hayes, Paul	Plymouth Argyle	F	19	12	4	1	6	1	331
Ihiekwe, Michael	Cheltenham Town	D	2	0	0	0	0	0	332
Ighorae, Emmanuel	Wycombe Wanderers	M	0	0	0	0	0	0	333
Ilesanmi, Oluwafemi	Dagenham & Redbridge	D	4	0	0	0	0	0	334
Ismail, Zeli	Burton Albion	M	15	6	3	2	2	0	335
Ingram, Matt	Wycombe Wanderers	G	1	1	0	1	0	37	336
Inniss, Ryan	Cheltenham Town	D	0	0	0	0	0	0	337
Ingham, Michael	York City	G	0	0	0	1	0	10	338
Jeffers, Sean	Newport County	F	6	3	0	0	2	0	339
Jones, Dan	Hartlepool United	D	0	0	0	0	0	0	340
Jombarti, Sido	Cheltenham Town	D	8	5	1	1	1	0	341
Jeffrey, Anthony	Wycombe Wanderers	M	3	1	0	0	0	0	342
Jenkins, James	Accrington Stanley	M	0	0	0	0	0	0	343
Jarvis, Ryan	York City	F	35	17	8	2	10	0	344
James, Luke	Hartlepool United	M	59	26	11	3	11	0	345
Johnson, Leon	Wycombe Wanderers	D	3	1	1	0	1	0	346
Jay, Matt	Exeter City	F	1	1	0	0	0	0	347
Jones, Darren	AFC Wimbledon	D	7	2	1	0	0	0	348
James, Tony	Newport County	D	0	0	0	0	0	0	349
Jennings, James	Mansfield Town	D	25	10	4	4	1	0	350
Jacquart, Chace	AFC Wimbledon	M	0	0	0	0	0	0	351
Jordan, Stephen	Fleetwood Town	D	0	0	0	1	0	0	352
Joyce, Luke	Accrington Stanley	M	18	5	1	1	1	0	353
Jensen, Brian	Bury	G	0	0	0	0	0	47	354
Johnson, Damien	Fleetwood Town	M	0	0	0	0	0	0	355
Jervis, Jake	Portsmouth	F	17	8	4	0	11	0	356
Jackson, Ryan	Newport County	D	8	1	0	4	1	0	357
Jolley, Christian	Newport County	M	30	10	2	1	14	0	358
Jones, Craig	Bury	M	13	5	1	6	5	0	359
Kearns, Daniel	Chesterfield	F	6	2	0	1	2	0	360
Kelly, Reece	Rochdale	M	0	0	0	0	0	0	361
Kennedy, Jason	Rochdale	M	2	1	0	0	0	0	362
Kinsella, Gerard	Fleetwood Town	M	0	0	0	0	0	0	363
Kee, Billy	Burton Albion	F	92	44	12	3	13	1	364
Knowles, Dominic	Burton Albion	F	21	7	3	0	5	0	365
Kitson, Dave	Oxford United	F	32	15	4	3	18	0	366
Knott, Billy	Wycombe Wanderers	M	21	10	2	1	0	0	367
Kenyon, Alex	Morecambe	M	25	8	0	0	1	0	368
Keohane, Jimmy	Exeter City	M	29	15	3	0	3	0	369
Kennedy, Callum	AFC Wimbledon	D	6	1	0	3	1	0	370
Kewley-Graham, Jesse	Wycombe Wanderers	M	0	0	0	0	0	0	371
Kuffour, Jo	Wycombe Wanderers	F	8	5	3	1	5	0	372
Keary, Pat	Bristol Rovers	D	1	0	0	0	0	0	373
Kotwica, Zack	Cheltenham Town	F	3	1	0	0	1	0	374
Kretzschmar, Max	Wycombe Wanderers	M	35	17	6	4	2	0	375
Krysiak, Artur	Exeter City	G	0	0	0	0	0	56	376
Keegan, Jordan	Scunthorpe United	F	0	0	0	0	0	0	377
Lillis, Josh	Rochdale	G	0	0	0	1	0	48	378
Lancashire, Oliver	Rochdale	D	15	4	0	0	0	0	379
Logan, Richard	Wycombe Wanderers	F	0	0	0	0	0	0	380
Lynch, Craig	Rochdale	F	2	1	0	0	1	0	381
Lucas, David	Fleetwood Town	G	0	0	0	0	0	0	382
Lynn, David	Oxford United	D	0	0	0	0	0	0	383
Long, Sam	Oxford United	M	1	1	0	0	0	0	384
Lyness, Dean	Burton Albion	G	0	0	0	0	0	29	385
Leonard, Ryan	Southend United 	D	58	24	5	1	0	0	386
Lucas, Lee	Cheltenham Town	M	0	0	0	0	0	0	387
Laird, Marc	Southend United 	M	6	0	0	1	0	0	388
Lucas, Jamie	Bristol Rovers	F	0	0	0	0	0	0	389
Lund, Matthew	Rochdale	M	69	28	8	3	1	0	390
Lainton, Robert	Bury	G	0	0	0	0	0	12	391
Langmead, Kelvin	Northampton Town	F	2	2	0	0	1	0	392
Lewis, Stuart	Wycombe Wanderers	M	23	10	3	1	0	0	393
Lee, Kenzer	Oxford United	D	0	0	0	0	0	0	394
Liddle, Michael	Accrington Stanley	D	3	0	0	0	0	0	395
Leven, Peter	Oxford United	M	0	0	0	0	0	0	396
Lockyer, Tom	Bristol Rovers	M	12	8	1	0	0	0	397
Lewington, Chris	Dagenham & Redbridge	G	0	0	0	1	0	66	398
Lecointe, Matt	Plymouth Argyle	F	0	0	0	0	0	0	399
Lane, Ryan	Plymouth Argyle	M	0	0	0	0	0	0	400
Lee, Tommy	Chesterfield	G	0	0	0	0	0	51	401
Lowe, Keith	Cheltenham Town	D	17	7	2	1	2	0	402
Mwasile, Joe	Morecambe	M	7	3	0	0	0	0	403
Martin, Oliver	Fleetwood Town	G	0	0	0	0	0	0	404
Maxwell, Chris	Fleetwood Town	G	0	0	0	0	0	27	405
Mawene, Youl	Fleetwood Town	D	0	0	0	0	0	0	406
Marrow, Alex	Fleetwood Town	M	4	3	1	1	0	0	407
McKenna, Paul	Fleetwood Town	M	0	0	0	0	0	0	408
McLaughlin, Conor	Fleetwood Town	D	12	4	0	3	0	0	409
McChrystal, Mark	Bristol Rovers	D	8	2	0	0	0	0	410
MacDonald, Alexander	Burton Albion	D	43	9	0	2	3	0	411
McCrory, Damien	Burton Albion	M	17	8	1	1	3	0	412
McFadzean, Callum	Chesterfield	F	6	4	1	1	1	0	413
McGurk, Adam	Burton Albion	F	94	33	9	2	24	0	414
Matt, Jamille	Fleetwood Town	F	29	16	8	0	20	0	415
McCombe, John	Mansfield Town	D	12	6	5	0	1	0	416
McGurk, David	York City	D	5	3	1	0	1	0	417
Minshull, Lee	Newport County	M	37	10	4	2	3	0	418
Mitchell, Liam	Mansfield Town	G	0	0	0	0	0	0	419
McDonald, Shaquille	York City	F	0	0	0	0	0	0	420
Mirfin, David	Scunthorpe United	D	19	7	2	0	1	0	421
